label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
SPHINCS,368397706,368412355,329839722,329813152,329797619,329791218,329771511,329755056,329709058,325067351,316788141,316728932,0.094114799,10434.526315789473,5672.421052631579,778.5263157894736,132.0,2308.0,4224.0,67.78947368421052
Falcon,177641152,177671897,177695335,177717733,177743112,177768996,177789756,177811108,177826282,177848733,177910120,177928712,0.054178524,10464.0,5966.7692307692305,808.0,132.0,2308.0,4224.0,60.0
Dilithium,16851546,16852878,16849968,16878442,16903444,16910158,16918479,16923283,16919684,16920577,16921409,16931442,0.005462106,9960.666666666666,1513.3333333333333,294.6666666666667,132.0,1128.0,2257.3333333333335,50.666666666666664
SPHINCS,1552263045,1552284939,1551687558,1535540168,1533947830,1533981231,1533965793,1534032697,1534041865,1534035905,1534053849,1534050120,0.475978237,10457.213793103449,5934.23448275862,801.048275862069,132.0,2288.4689655172415,4191.448275862069,59.779310344827586
Falcon,106717473,106768601,106789546,106802027,106814617,106825182,106832680,106857890,51590973,51503169,51471137,51450853,0.01439828,10370.666666666666,5504.0,714.6666666666666,132.0,2308.0,4224.0,67.33333333333333
Falcon,220768771,220800073,220818694,220848805,220903819,220926923,220954536,220963702,220989962,221011873,221035812,221046959,0.065919665,10429.333333333334,6005.333333333333,773.3333333333334,132.0,2308.0,4224.0,71.33333333333333
SPHINCS,321295234,317240328,311519101,311534067,311541005,311528219,298570285,298525597,296573379,293847740,293836152,293817671,0.08824268,10354.666666666666,4883.555555555556,696.0,132.0,1993.3333333333333,3699.5555555555557,59.111111111111114
Falcon,92722415,92756518,92764583,92772917,92782072,92799782,87557243,87275269,83671925,83654629,54684931,51978016,0.016976048,10324.0,5472.0,668.0,132.0,2308.0,4224.0,63.0
SPHINCS,3191356846,3191389574,3191414153,3191443785,3191484229,3191524364,3191552301,3191567549,3191583707,3191598158,3191637329,3191651857,0.991738807,10460.944099378881,5842.037267080746,804.8695652173913,132.0,2299.204968944099,4209.341614906833,63.850931677018636
DSA,27966450,27984132,27974803,27961451,27961014,27967891,27983587,27996810,28002586,27999861,28004869,28008566,0.008922029,10184.0,4608.0,528.0,132.0,2308.0,4224.0,62.0
Falcon,98870351,98909203,98923235,98949407,98961692,98975227,98980008,99039033,99057130,99077818,99085222,99089794,0.030545566,10464.0,6016.0,808.0,132.0,2308.0,4224.0,68.0
DSA,17703906,17719949,17728555,17738751,17742783,17773923,17791061,17810123,17819751,17826855,17830032,17845347,0.005352533,9906.0,1612.0,398.0,132.0,1600.0,3044.0,54.0
DSA,26601497,26622131,26314245,25861102,25863369,25864712,25856419,25858797,25745995,25739154,23280716,18984900,0.005691359,10184.0,4800.0,528.0,132.0,2308.0,4224.0,60.0
DSA,56868291,55916116,55905808,55879078,56219479,56212603,51924693,48644262,48616285,48437066,41895880,17603325,0.006042613,10184.0,4736.0,528.0,132.0,2308.0,4224.0,64.0
Falcon,107838892,107809095,107814815,105824553,105814495,101867064,59916426,58966074,58813983,57055046,51797681,51499130,0.015871372,10431.0,5760.0,775.0,132.0,2308.0,4224.0,67.0
SPHINCS,2806145611,2806185539,2806217468,2806269674,2806321814,2806379416,2806413511,2806438126,2806456763,2806471711,2806504382,2806522021,0.86672487,10464.0,5888.0,808.0,132.0,2308.0,4224.0,68.0
Falcon,113155152,113177063,113196079,113180528,113207315,113207548,113225842,113243505,60863348,47762650,47726017,47699362,0.014766979,10324.0,5472.0,668.0,132.0,2308.0,4224.0,63.0
Falcon,257780470,220049510,220042715,220034134,220028388,220025022,220013871,206830573,206799347,206761717,206735281,206713881,0.065811318,10464.0,6144.0,808.0,132.0,2308.0,4224.0,60.0
DSA,77776071,77840280,77894245,77911507,77922730,77881475,77922211,77683995,42105039,17424032,17400668,17376220,0.005597496,10332.0,4992.0,676.0,132.0,2308.0,4224.0,60.0
Falcon,112315399,90778552,90725074,87356302,87363301,87404684,82225856,78989582,67745976,67735482,67738790,67760066,0.021094615,5234.0,3008.0,404.0,68.0,1154.0,2112.0,40.0
SPHINCS,5624173673,5608832037,5604414499,5604420664,5604428104,5604432806,5604442897,5604458569,5604463902,5604468432,5604462356,5604477494,1.754428333,10464.0,5877.333333333333,808.0,132.0,2308.0,4224.0,64.0
DSA,67526764,67532608,67527471,53623054,31277734,31245694,19618547,19594465,19578167,19549121,19530710,19507508,0.006493707,9840.0,1664.0,492.0,132.0,2308.0,4224.0,56.0
SPHINCS,355598165,355375968,332347043,332350845,332361932,332367377,332363830,332363742,306792298,306785724,306784110,306773841,0.090044828,10435.636363636364,5597.090909090909,793.6363636363636,132.0,2308.0,4224.0,71.45454545454545
Falcon,249847793,246967087,245091831,245099165,204849255,204824714,203574969,203537853,203532717,203522941,203522475,189439238,0.057717284,10464.0,5979.428571428572,808.0,132.0,2308.0,4224.0,60.0
SPHINCS,5164001281,5164013691,5164033240,5164061523,5164072103,5164088655,5164098936,5164105228,5164123424,5164124048,5164145507,5164172532,1.594946073,10460.638977635783,5852.907348242811,804.6006389776358,132.0,2303.4760383386583,4216.460063897764,59.94888178913738
SPHINCS,4938993376,4938970561,4897318732,4897305253,4897308641,4884816799,4884822445,4884818088,4884817220,4877574932,4877399474,4877251911,1.512292077,10462.50909090909,5771.709090909091,806.4727272727273,132.0,2303.7090909090907,4216.848484848485,59.95151515151515
SPHINCS,262653957,262694988,262719209,262727082,227693417,227671172,227406681,218911266,218880249,215987003,215974113,215953105,0.069908904,10401.777777777777,5617.777777777777,745.7777777777778,132.0,2308.0,4224.0,64.0
DSA,79173562,55007129,54984297,54973736,54968231,54954088,54940254,54925479,54928173,49268944,49227012,18126490,0.00572591,10184.0,4288.0,528.0,132.0,2308.0,4224.0,60.0
Dilithium,49083751,49078527,49071203,49056400,49056860,23789467,23815111,23790157,23632614,23607755,23599845,16255790,0.00506842,9904.0,3968.0,248.0,132.0,2308.0,4224.0,60.0
Falcon,108225710,108259717,77651526,73408802,73368142,73368808,73267671,67998230,67950755,67195301,64568046,42278840,0.013662653,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
Falcon,92345891,92353426,64916665,64897253,64905522,52354442,52308211,48258500,48225328,48212389,48158887,48139552,0.01495838,10420.0,5674.666666666667,764.0,132.0,2308.0,4224.0,68.0
SPHINCS,695562393,695583562,695601066,695619715,695636299,695657880,695674093,695692167,695705179,695699542,695700098,695711375,0.207451242,10464.0,5973.333333333333,808.0,132.0,2308.0,4224.0,64.0
DSA,72462572,68075478,68069684,29860115,23208488,23207103,23217100,23203473,23195604,23186980,23179501,18041051,0.005807138,9972.0,152.0,304.0,132.0,892.0,1864.0,44.0
SPHINCS,326213291,324251262,324246829,324017404,322052824,322045420,322029150,321494163,321489044,321331515,321110807,321095894,0.097537746,10402.5,5107.0,745.0,132.0,2131.0,3929.0,61.0
Falcon,265052808,265072726,265079759,229752053,229726888,218306551,215708237,209881456,209360052,209343825,209336337,209316224,0.066053038,10341.0,4550.0,682.0,132.0,1954.0,3634.0,59.0
Dilithium,30536425,30534211,30544314,30562133,30576440,30570864,30578370,30582339,30591054,30597571,30607275,30609593,0.009204093,9972.0,152.0,304.0,132.0,892.0,1864.0,44.0
Falcon,295910178,295936416,295953597,295966947,295985003,296000237,295998265,296029222,296036151,296040812,296060883,296070742,0.09667781,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
DSA,60834254,60858995,60856177,65692293,65764642,74481427,74549483,74594352,74590054,74595495,74611251,68091075,0.020750575,9904.0,3584.0,248.0,132.0,2308.0,4224.0,64.0
SPHINCS,2805939390,2805948434,2790366292,2786698293,2785848051,2785818280,2766828437,2757442791,2757417048,2757409346,2756751175,2750905282,0.844658804,10464.0,5997.714285714285,808.0,132.0,2308.0,4224.0,64.0
SPHINCS,2427818661,2427853946,2427836788,2396261705,2394165058,2388371022,2388349497,2388327713,2388321598,2388312507,2379175434,2377563648,0.738718728,10464.0,5885.2072727272725,808.0,132.0,2308.0,4224.0,67.98545454545454
Dilithium,57683258,57717642,57732613,57744690,57779362,53332921,53308112,51848333,51462710,23001650,22971660,18442559,0.005689511,10184.0,4544.0,528.0,132.0,2308.0,4224.0,64.0
Falcon,209785262,203378980,203349028,202814807,202827669,202803299,202624425,200776770,200769696,200777216,200673326,189759341,0.056816752,10365.6,4843.2,707.2,132.0,2024.8,3752.0,60.0
SPHINCS,362649371,362629670,362641151,362137778,362113140,361487470,361479671,361486617,315552593,315516946,315459501,315490064,0.093125866,10427.29411764706,5692.235294117647,767.7647058823529,132.0,2308.0,4224.0,67.52941176470588
Dilithium,77607070,77105760,70582840,70449028,66243861,66217866,24491521,18644974,18601353,18631649,18634172,18638508,0.005639787,9904.0,3072.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium,28616974,27127516,25572258,17185455,16762654,16730784,16705506,16680081,16654474,16646842,16640481,16626589,0.005032171,10218.0,3148.0,556.0,132.0,1600.0,3044.0,52.0
Falcon,111104329,111109767,111119357,111123588,111140749,111160347,74586684,72990813,72510159,71858573,62469589,62423683,0.019223652,10445.142857142857,5888.0,789.1428571428571,132.0,2308.0,4224.0,60.0
DSA,34212842,34221166,34237499,34242627,34240424,34244139,34254889,34264744,34272867,34275074,34277382,34276235,0.011365026,9904.0,4224.0,248.0,132.0,2308.0,4224.0,60.0
Falcon,73778385,68220506,61667937,61649851,61496836,60132816,60115704,60117702,60110491,60109938,60110382,60103482,0.019414824,10464.0,5952.0,808.0,132.0,2308.0,4224.0,68.0
Dilithium,77388472,77389315,77400380,39852246,37559251,35980565,28529528,23691396,23659950,23644262,23340534,16797793,0.005401875,9840.0,1024.0,492.0,132.0,2308.0,4224.0,60.0
DSA,37713079,37747134,37764477,37789533,37820492,37851632,37868637,37885547,37908064,37929790,37943165,37947614,0.012262846,9904.0,3072.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium,60223094,52551197,49964673,47209162,47197014,47191087,47165567,47146250,47130656,47118897,17304598,16472931,0.005625429,10464.0,5120.0,808.0,132.0,2308.0,4224.0,60.0
SPHINCS,2959834428,2959860160,2959894044,2959922811,2959957997,2959978105,2960005583,2960035116,2960050998,2960062772,2960081878,2960093274,0.952090853,10462.014184397163,5877.560283687943,806.0141843971631,132.0,2308.0,4224.0,71.97163120567376
SPHINCS,719452446,719453165,719479544,719493116,719496053,719520675,719536815,719551300,719569127,719577806,719579664,719603841,0.22480888,10446.169491525423,5638.9152542372885,789.9661016949152,132.0,2284.0,4184.0,63.52542372881356
Falcon,259127065,258546032,258541919,258559094,233460735,225818986,225797071,225785549,223606690,223628280,223628321,223616813,0.068977951,10464.0,6048.0,808.0,132.0,2308.0,4224.0,64.0
Dilithium,61450070,61473693,61476678,61477786,20379575,20363636,20349162,20360348,20348839,20371709,20362075,20371785,0.006227224,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
DSA,32330760,32302201,32309524,32355509,32387507,23129768,17821629,17768833,17807118,17813035,17799417,17767309,0.005456377,9904.0,3584.0,248.0,132.0,2308.0,4224.0,56.0
Falcon,126987135,126988885,126993075,126992929,127001767,127005646,122107329,122085555,122076605,81205156,81172805,81151609,0.024268081,10352.0,5606.4,696.0,132.0,2308.0,4224.0,64.0
SPHINCS,3658926583,3658963481,3658990090,3659003327,3659018200,3659004079,3659001231,3659028417,3659042405,3659057000,3659072045,3659075099,1.138656014,10464.0,5881.107692307693,808.0,132.0,2308.0,4224.0,64.0
Falcon,296349443,296313936,295569304,295575351,294621699,294624259,259199742,256576021,256553881,256567345,256588753,256605343,0.078661276,10464.0,6016.0,808.0,132.0,2308.0,4224.0,60.0
Falcon,180756565,180791465,180827736,180885209,180902404,180930623,180920839,181177320,181193599,181213242,181234241,181251590,0.055334373,10454.57142857143,5952.0,798.5714285714286,132.0,2308.0,4224.0,68.0
SPHINCS,4459481185,4459350506,4459573126,4459598239,4459635737,4459664430,4459678108,4459691710,4459705131,4459713980,4459744582,4459754884,1.46309527,10458.765957446809,5817.446808510638,802.6382978723404,132.0,2292.936170212766,4198.893617021276,59.787234042553195
DSA,25684192,25728915,25772831,25795738,25816819,25837948,25843508,25832584,25833898,25845196,25858084,25864527,0.008355259,10180.0,4736.0,524.0,132.0,2308.0,4224.0,60.0
Falcon,70476108,64441390,64397405,64386790,64375236,41843539,41804941,41785787,41764821,41748432,41736581,41723721,0.013167341,10464.0,6016.0,808.0,132.0,2308.0,4224.0,64.0
Falcon,129385206,129413147,129423865,129443274,129473896,129484061,129505224,129537353,129562704,129576451,129599077,129611603,0.039422414,10464.0,5930.666666666667,808.0,132.0,2308.0,4224.0,60.0
SPHINCS,3943576752,3943592304,3943607130,3943608540,3943627301,3943641107,3941803687,3941806313,3941815245,3938332086,3936219768,3935980913,1.203010747,10461.910447761195,5751.4029850746265,805.9104477611941,132.0,2308.0,4224.0,67.97014925373135
SPHINCS,1431975532,1431992366,1431999423,1430543244,1419801095,1419770681,1410106231,1398391570,1393795815,1386752004,1386371158,1386353534,0.425823036,10464.0,6016.0,808.0,132.0,2308.0,4224.0,60.0
SPHINCS,4853118754,4853135836,4853133577,4852822731,4852841649,4852841957,4852835965,4852211416,4805130342,4805086959,4805074094,4805042052,1.482589821,10461.471153846154,5981.903846153846,805.4423076923077,132.0,2304.596153846154,4218.326923076923,63.93269230769231
Falcon,97888038,92461612,92379676,92366060,92333889,92335582,92248023,90857259,90859064,90857480,48256513,48216485,0.014658329,10339.2,4838.4,748.0,132.0,2308.0,4224.0,61.6
DSA,67110483,66422946,66422809,66458020,66452366,66447966,66445294,66450111,66455092,66446505,62525030,18786698,0.005840619,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
Dilithium,57305682,55672121,30260517,30252326,30269548,17850427,17817061,17510561,17509001,17163217,17148763,17135220,0.005236176,9904.0,2688.0,248.0,132.0,2308.0,4224.0,60.0
SPHINCS,3588229377,3588198480,3588214614,3588091967,3588129204,3588145488,3587838103,3587286116,3581519124,3485967531,3484547490,3484528973,1.104074652,10462.0,5851.154471544715,805.9512195121952,132.0,2302.243902439024,4214.40650406504,63.90243902439025
Falcon,51916483,47285468,47245663,47230706,47230112,45119947,45089326,44406317,44397182,44395691,44387576,40869625,0.01259179,10464.0,5888.0,808.0,132.0,2308.0,4224.0,60.0
SPHINCS,326479219,326491358,326524222,326545322,326566468,326620165,326639701,326694150,326714537,326732219,326747463,326763228,0.098310163,10438.37037037037,5764.740740740741,782.3703703703703,132.0,2308.0,4224.0,64.0
Dilithium,63695897,59354433,56381431,56382245,55492123,54316332,54309098,53828394,53818007,41944761,17198040,17124611,0.00550562,9904.0,3456.0,248.0,132.0,2308.0,4224.0,60.0
SPHINCS,3396598005,3397033705,3390210227,3387717990,3386175487,3386153989,3352618139,3352605467,3352611863,3352602032,3348948042,3348926807,1.050378149,10464.0,5881.756097560976,808.0,132.0,2308.0,4224.0,60.0
Falcon,154789455,154797964,154804364,154810175,154817434,154826193,154834045,154836577,154852235,154888013,145187571,142216902,0.042010349,10417.333333333334,5856.0,761.3333333333334,132.0,2308.0,4224.0,60.0
SPHINCS,3220094500,3220099323,3220100775,3220132440,3220163163,3220140296,3220144718,3220150021,3220156008,3220159410,3181755650,3181719331,0.960951108,10462.114478114478,5983.676767676768,806.1144781144781,132.0,2308.0,4224.0,63.986531986531986
SPHINCS,4049803726,4049810536,4027249100,4027216280,4027205308,4022381196,4022318879,4022100141,4022058540,4017425457,4017172061,4016299146,1.246331299,10458.716981132075,5978.566037735849,802.7169811320755,132.0,2308.0,4224.0,67.47169811320755
Falcon,235044182,235042558,235034236,235041398,235048876,235051627,225157940,223976139,223956536,222483263,186436242,186192787,0.058985405,10464.0,6067.2,808.0,132.0,2308.0,4224.0,64.0
SPHINCS,3530480094,3530506986,3530525942,3530520212,3530538331,3525726845,3503335092,3500482461,3491497280,3491445159,3488054771,3488010311,1.078940762,10462.803418803418,5755.076923076923,806.8034188034188,132.0,2308.0,4224.0,63.99145299145299
Falcon,109487729,109490713,109502887,109517044,109550690,108391288,64358512,64329032,64328245,54808598,52325648,43108491,0.013914703,10322.0,5376.0,666.0,132.0,2308.0,4224.0,60.0
Dilithium,52153516,52193538,52218038,52235646,52249784,52254453,52258467,52262964,52261271,52269220,52280011,52288311,0.016896492,10464.0,5376.0,808.0,132.0,2308.0,4224.0,68.0
SPHINCS,1921865418,1921848635,1881119704,1881104642,1881103480,1881099281,1881082342,1881039666,1881018868,1881018943,1880969313,1880968020,0.56801573,10457.166666666666,5829.666666666667,801.0,132.0,2288.3333333333335,4191.222222222223,63.94444444444444
DSA,55923451,36741973,24459706,19079716,19056657,19065965,18772712,18758500,18742934,18760684,18809469,18798785,0.00592977,10464.0,5120.0,808.0,132.0,2308.0,4224.0,60.0
Falcon,204829536,204839623,204847329,204856896,204865126,204881022,190845306,190848316,190843408,168904567,156630031,156612208,0.050615514,10393.714285714286,5114.285714285715,736.0,132.0,2105.714285714286,3886.8571428571427,60.285714285714285
Falcon,175820583,175834435,175844471,175856305,175858125,175919653,175928735,175975050,175983577,175992457,138220361,131467036,0.038596422,10324.0,5408.0,668.0,132.0,2308.0,4224.0,60.0
SPHINCS,341783799,306630508,293165411,293124330,282082043,282017705,278613011,278597507,278569381,278561604,278545887,278526514,0.083837522,10464.0,5760.0,808.0,132.0,2308.0,4224.0,68.0
Dilithium,76828125,48687525,48684628,48680689,49219164,48957150,48952629,42990625,42860675,38613273,38608203,19114709,0.005608251,9904.0,4224.0,248.0,132.0,2308.0,4224.0,64.0
