label,CPU0_cycles,CPU1_cycles,CPU2_cycles,CPU3_cycles,CPU4_cycles,CPU5_cycles,CPU6_cycles,CPU7_cycles,CPU8_cycles,CPU9_cycles,CPU10_cycles,CPU11_cycles,elapsed_time,VmSize,VmRSS,VmData,VmStk,VmExe,VmLib,VmPTE
rsa,14139457783,14125202251,14125182160,14125170202,14125199887,14125169370,14125160233,14125103940,14125122883,14125130071,14125124915,14085333710,4.45705146,2944.0,1536.0,236.0,132.0,120.0,1796.0,40.0
kyber,73496631,73433707,73329059,73198232,73024232,72962883,72954109,72942639,72936605,72931010,72936532,72784800,0.023278985,702784.0,1408.0,40976.0,132.0,568.0,8.0,76.0
sike,461806738,451692432,451679088,451687767,451691870,451656458,451640546,451636643,451633070,451613006,451592319,451587261,0.141480788,682282.303030303,1839.2727272727273,40108.121212121216,132.0,667.030303030303,64.24242424242425,71.03030303030303
bike,63351784,63354652,63358502,63362785,63360482,66207931,66227545,66226110,66233713,28419802,28396584,28129195,0.008740304,7604.0,4480.0,544.0,160.0,108.0,4224.0,56.0
bike,39170512,39202326,39218891,39220179,39217137,39216203,39247666,39267554,39276222,39278753,39278434,39276285,0.012162139,8049.6,5324.8,720.0,413.6,108.0,4224.0,59.2
ecdh,73089576,62196999,62176897,48578718,44881552,33717656,33685668,33702133,33682990,33675303,33663432,33645941,0.010478242,7520.0,4394.666666666667,601.3333333333334,132.0,4.0,4224.0,54.666666666666664
ntruprime,38775321,38812733,38823349,38852814,38898471,38912636,38928987,38955885,38967624,38976375,38981837,39006457,0.011496135,7272.0,4224.0,252.0,132.0,108.0,4224.0,56.0
classic,2140646684,2140681662,2140685575,2140712858,2140717230,2140697120,2140683412,2140649964,2140663820,2140676123,2087273312,2085047621,0.647451892,9780.0,6825.513513513513,1840.0,960.0,196.0,4224.0,56.0
ecdh,70401323,68389847,68333273,68167870,31315474,31284151,31277810,30122751,30109792,29383906,29367639,29353306,0.009464041,7660.0,5376.0,764.0,132.0,4.0,4224.0,56.0
ntruprime,36262629,31782366,31785488,31787089,31819380,31824436,31843926,31853615,26173321,25474821,19707518,18041810,0.005807314,9072.0,1338.6666666666667,286.6666666666667,132.0,630.6666666666666,2650.6666666666665,48.0
sike,200825079,200718290,200732599,200721066,197067501,197060111,197055273,182970351,182945179,182349895,182349904,182338104,0.055501055,659926.5,1721.5,38753.5,132.0,674.5,124.0,81.25
ntruprime,66325755,17869997,17836117,17827354,17867037,17858394,17853937,17847559,17868459,17870578,17870541,17857234,0.005756195,7832.0,5504.0,812.0,132.0,108.0,4224.0,68.0
frodokem,148276396,130490112,126778319,118703883,118572442,105812983,105542931,104803442,99830779,99804528,99817341,99799087,0.033305625,8038.857142857143,5412.571428571428,892.0,150.85714285714286,220.0,4224.0,56.0
frodokem,83865078,83900067,83909395,83927244,83978263,83938530,80441685,80331016,80260861,80202002,80143690,80102307,0.023737261,7898.666666666667,5184.0,774.6666666666666,132.0,216.0,4224.0,60.0
ecdh,55505758,55517215,55526426,55546151,55549473,55583193,55605472,55612328,56366657,56389284,56398294,56414764,0.018307534,7575.0,4512.0,756.0,132.0,4.0,4224.0,59.0
frodokem,156122441,121726192,121344285,118466913,114577823,114554215,114293917,114287821,110020986,108207409,108198369,108176258,0.035636238,7852.0,5056.0,728.0,132.0,216.0,4224.0,61.0
classic,1300480975,1296313906,1296301934,1288785894,1288796188,1288791210,1288812503,1288838883,1288834934,1288829995,1252065136,1250116868,0.398557806,9900.71794871795,6502.358974358975,1804.5128205128206,1054.5641025641025,209.94871794871796,4163.48717948718,59.58974358974359
frodokem,131412674,131371525,131396333,116163024,116140615,116119997,116112885,108378625,103870612,103835772,103301406,86356279,0.026734519,8424.8,4382.4,774.4,146.4,354.4,3752.0,59.2
classic,1027147870,1026853756,1025897048,1002361751,1000625535,1000595136,989808694,989800188,989812531,989833968,989839235,989836023,0.300581602,8996.0,6420.210526315789,1332.0,692.0,188.0,4224.0,64.0
frodokem,99780935,80270066,80291108,80653199,80646672,80647846,80625699,80623903,70888610,70859058,65218695,57465692,0.018072943,7992.0,5350.4,868.0,132.0,216.0,4224.0,60.0
